,Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,2010 Population,Land-Sq-Mi,Density Per Sq Mile,contains_college
294,11566,Merrick,NY,40.666575,-73.55475,-5,1,"40.666575,-73.55475",35321,5.452000000000001,6478.539985,False
295,27109,Winston Salem,NC,36.133577,-80.2768,-5,1,"36.133577,-80.2768",2539,0.19399999999999998,13087.62887,False
296,92626,Costa Mesa,CA,33.677224,-117.90863,-8,1,"33.677224,-117.90863",49341,9.651,5112.527199,True
297,10977,Spring Valley,NY,41.116795,-74.04504,-5,1,"41.116795,-74.04504",59048,11.100999999999999,5319.160436,True
298,1103,Springfield,MA,42.103294,-72.59111999999999,-5,1,"42.103294,-72.59112",2479,0.46,5389.130435,True
299,27110,Winston Salem,NC,36.027482,-80.20728000000001,-5,1,"36.027482,-80.20728",2127,0.18899999999999997,11253.96825,False
300,95350,Modesto,CA,37.671778,-121.01248999999999,-8,1,"37.671778,-121.01249",51046,8.879,5749.070841,True
301,91767,Pomona,CA,34.080143,-117.73861000000001,-8,1,"34.080143,-117.73861",48068,5.621,8551.503290999999,False
302,63112,Saint Louis,MO,38.661351,-90.28434,-6,1,"38.661351,-90.28434",20368,3.3080000000000003,6157.19468,False
303,55405,Minneapolis,MN,44.971798,-93.30273000000001,-6,1,"44.971798,-93.30273",15411,2.787,5529.601721999999,False
304,21206,Baltimore,MD,39.341107,-76.54085,-5,1,"39.341107,-76.54085",50846,7.175,7086.550523000001,False
305,11692,Arverne,NY,40.592939,-73.79568,-5,1,"40.592939,-73.79568",18540,0.9990000000000001,18558.558559999998,False
306,7026,Garfield,NJ,40.879858,-74.10807,-5,1,"40.879858,-74.10807",30555,2.178,14028.925619999998,False
307,1604,Worcester,MA,42.255393,-71.77459,-5,1,"42.255393,-71.77459",34677,6.439,5385.463581,False
308,94544,Hayward,CA,37.633732,-122.06101000000001,-8,1,"37.633732,-122.06101",73026,10.957,6664.780506,False
309,23663,Hampton,VA,37.031473999999996,-76.31636999999999,-5,1,"37.031474,-76.31637",14495,2.778,5217.782577,True
310,1086,Westfield,MA,42.173428,-72.847964,-5,1,"42.173428,-72.847964",687,0.037000000000000005,18567.56757,False
311,36849,Auburn University,AL,32.602434,-85.4858,-6,1,"32.602434,-85.4858",3150,0.387,8139.534884000001,False
312,21746,Hagerstown,MD,39.563787,-77.720642,-5,1,"39.563787,-77.720642",1883,0.36,5230.555556,False
313,36590,Theodore,AL,30.487953000000005,-88.25327800000001,-6,1,"30.487953,-88.253278",20,0.003,6666.666667,False
314,2109,Boston,MA,42.361477,-71.05417,-5,1,"42.361477,-71.05417",3771,0.174,21672.413790000002,False
315,98115,Seattle,WA,47.683820000000004,-122.30122,-8,1,"47.68382,-122.30122",46206,6.587999999999999,7013.661201999999,False
316,40404,Berea,KY,37.716443,-84.299699,-5,1,"37.716443,-84.299699",643,0.127,5062.992126,True
317,48235,Detroit,MI,42.427636,-83.19547,-5,1,"42.427636,-83.19547",45063,6.251,7208.926572,False
